id,user_id,in_out,punch_time
105,104335679,out,2024-03-20 22:10:00.083199
106,UU0kOuNb159vmrc,out,2024-03-20 22:18:04.265863
107,10019087,out,2024-03-20 22:32:01.789092
108,104335603,out,2024-03-20 22:32:09.627438
109,IZECofnKYlj0LN1,out,2024-03-20 23:11:57.681898
110,poW0XOjBvwM7GQk,out,2024-03-20 23:13:40.143332
111,20304885,out,2024-03-20 23:28:57.626906
112,VndK4JUQJTMXHuY,out,2024-03-21 00:13:32.64549
113,20304885,in,2024-03-21 13:13:22.718217
114,UU0kOuNb159vmrc,in,2024-03-21 13:13:57.277488
115,104335609,in,2024-03-21 13:33:58.140738
116,104335679,in,2024-03-21 13:42:28.14972
117,poW0XOjBvwM7GQk,in,2024-03-21 13:44:55.609851
118,10019087,in,2024-03-21 13:55:50.455391
119,HDwYfNlJmtan,in,2024-03-21 13:58:28.370464
120,20044862,in,2024-03-21 13:59:34.451384
121,20304861,in,2024-03-21 14:01:23.421495
122,IZECofnKYlj0LN1,in,2024-03-21 14:20:57.627353
123,VndK4JUQJTMXHuY,in,2024-03-21 14:55:58.740368
124,104335603,in,2024-03-21 15:34:54.158266
125,IZECofnKYlj0LN1,out,2024-03-21 19:41:51.86439
126,IZECofnKYlj0LN1,in,2024-03-21 20:12:26.240672
127,UU0kOuNb159vmrc,out,2024-03-21 20:43:21.057943
128,k4CKmWEsWhNvagKCRADZgegZV,in,2024-03-21 20:49:49.216199
129,UU0kOuNb159vmrc,in,2024-03-21 21:28:18.954605
130,20451088,out,2024-03-21 21:30:44.930274
131,104335679,out,2024-03-21 22:06:52.093191
132,10019087,out,2024-03-21 22:31:23.40155
133,104335603,out,2024-03-21 22:31:31.15671
134,20044862,out,2024-03-21 22:46:35.021482
135,20304885,out,2024-03-21 22:52:33.533115
136,20304861,out,2024-03-21 22:55:39.491671
137,104335609,out,2024-03-21 23:01:27.506034
138,poW0XOjBvwM7GQk,out,2024-03-21 23:11:58.476802
139,HDwYfNlJmtan,out,2024-03-21 23:18:48.544456
140,IZECofnKYlj0LN1,out,2024-03-21 23:20:04.225656
141,VndK4JUQJTMXHuY,out,2024-03-22 00:19:50.854656
142,lySvEIkANlvgJr6,out,2024-03-22 12:50:17.465748
143,lySvEIkANlvgJr6,in,2024-03-22 12:50:24.929241
144,20451088,in,2024-03-22 13:05:56.290628
145,UU0kOuNb159vmrc,in,2024-03-22 13:29:53.91207
146,104335679,in,2024-03-22 13:30:17.657266
147,104335609,in,2024-03-22 13:31:18.770336
148,q2GD6mFIwXngAEr,in,2024-03-22 13:39:39.006594
149,HDwYfNlJmtan,in,2024-03-22 13:53:55.281027
150,10019087,in,2024-03-22 13:56:02.569291
151,20304885,in,2024-03-22 13:56:11.346496
152,20304861,in,2024-03-22 13:59:29.035744
153,poW0XOjBvwM7GQk,in,2024-03-22 14:03:49.838824
154,IZECofnKYlj0LN1,in,2024-03-22 14:12:32.443009
155,VndK4JUQJTMXHuY,in,2024-03-22 14:53:15.97769
156,20342613,in,2024-03-22 17:00:28.7242
157,20342613,out,2024-03-22 17:00:42.252274
158,20342613,in,2024-03-22 17:01:21.207365
159,10019087,out,2024-03-22 17:02:21.78592
160,10019087,in,2024-03-22 17:38:59.455647
161,20342613,out,2024-03-22 18:00:39.206395
162,IZECofnKYlj0LN1,out,2024-03-22 18:33:58.066725
163,VndK4JUQJTMXHuY,out,2024-03-22 18:34:15.624877
164,poW0XOjBvwM7GQk,out,2024-03-22 19:05:50.677568
165,VndK4JUQJTMXHuY,in,2024-03-22 19:35:04.859308
166,IZECofnKYlj0LN1,in,2024-03-22 19:35:14.183871
167,20342613,out,2024-03-22 21:30:51.820578
168,20451088,out,2024-03-22 21:38:54.546197
169,poW0XOjBvwM7GQk,in,2024-03-22 22:12:33.53158
170,20304885,out,2024-03-22 22:26:47.366957
171,104335679,out,2024-03-22 22:28:51.835636
172,20304861,out,2024-03-22 22:39:03.338098
173,10019087,out,2024-03-22 22:43:26.620332
174,IZECofnKYlj0LN1,out,2024-03-22 23:18:37.088871
175,VndK4JUQJTMXHuY,out,2024-03-22 23:18:50.119703
176,poW0XOjBvwM7GQk,out,2024-03-22 23:24:59.925334
177,HDwYfNlJmtan,out,2024-03-22 23:42:00.517027
178,VndK4JUQJTMXHuY,out,2024-03-23 22:37:47.0171
179,lySvEIkANlvgJr6,out,2024-03-24 12:45:44.35124
180,lySvEIkANlvgJr6,in,2024-03-24 12:45:51.745659
181,UU0kOuNb159vmrc,in,2024-03-25 12:34:05.285839
182,lySvEIkANlvgJr6,out,2024-03-25 12:50:18.091772
183,lySvEIkANlvgJr6,in,2024-03-25 12:50:26.226406
184,20342613,in,2024-03-25 12:55:20.086079
185,20044862,in,2024-03-25 13:00:09.24676
186,104335679,in,2024-03-25 13:20:26.857647
187,20304882,in,2024-03-25 13:20:39.769706
188,poW0XOjBvwM7GQk,in,2024-03-25 13:55:09.047873
189,10019087,in,2024-03-25 13:55:41.785485
190,20304885,in,2024-03-25 13:57:05.427025
191,20304861,in,2024-03-25 14:00:02.684658
